iter	Passed	Remaining
0	89	44647
1	172	43034
2	256	42411
3	339	42074
4	422	41805
5	505	41639
6	589	41488
7	672	41349
8	755	41212
9	838	41100
10	922	40988
11	1005	40889
12	1088	40778
13	1171	40683
14	1255	40592
15	1338	40476
16	1422	40416
17	1505	40321
18	1588	40226
19	1672	40135
20	1755	40043
21	1838	39952
22	1922	39865
23	2005	39773
24	2087	39665
25	2170	39574
26	2253	39475
27	2336	39388
28	2419	39301
29	2502	39208
30	2584	39094
31	2665	38979
32	2748	38891
33	2830	38792
34	2911	38678
35	2994	38593
36	3076	38503
37	3156	38376
38	3233	38218
39	3309	38055
40	3392	37975
41	3474	37883
42	3556	37801
43	3639	37718
44	3720	37618
45	3803	37536
46	3881	37408
47	3964	37332
48	4045	37234
49	4128	37157
50	4206	37033
51	4288	36945
52	4371	36866
53	4452	36777
54	4534	36687
55	4617	36607
56	4695	36491
57	4774	36388
58	4855	36294
59	4934	36184
60	5016	36099
61	5095	35993
62	5174	35890
63	5247	35747
64	5322	35622
65	5405	35542
66	5486	35458
67	5555	35293
68	5634	35197
69	5717	35120
70	5795	35018
71	5877	34939
72	5946	34782
73	6017	34643
74	6101	34573
75	6179	34477
76	6261	34396
77	6336	34283
78	6415	34187
79	6484	34042
80	6563	33951
81	6646	33879
82	6724	33784
83	6802	33688
84	6883	33609
85	6957	33493
86	7034	33393
87	7115	33314
88	7180	33159
89	7259	33068
90	7336	32972
91	7415	32885
92	7489	32776
93	7560	32656
94	7635	32549
95	7708	32439
96	7786	32349
97	7865	32262
98	7940	32162
99	8015	32063
100	8098	31991
101	8180	31920
102	8255	31821
103	8333	31731
104	8409	31635
105	8481	31524
106	8559	31436
107	8638	31352
108	8702	31217
109	8780	31131
110	8850	31016
111	8926	30925
112	8996	30811
113	9068	30705
114	9146	30620
115	9218	30516
116	9295	30428
117	9368	30328
118	9445	30241
119	9527	30169
120	9602	30078
121	9674	29976
122	9747	29875
123	9826	29797
124	9896	29688
125	9972	29602
126	10050	29518
127	10132	29448
128	10215	29380
129	10294	29300
130	10374	29223
131	10450	29135
132	10519	29028
133	10600	28954
134	10680	28876
